gene	species
GUT_GENOME102711_01368	100003
GUT_GENOME102969_00178	100003
GUT_GENOME102969_00185	100003
GUT_GENOME102969_02046	100003
GUT_GENOME103274_01422	100003
GUT_GENOME105725_01519	100003
GUT_GENOME109950_00151	100003
GUT_GENOME109950_01096	100003
GUT_GENOME109950_01180	100003
GUT_GENOME111058_00533	100003
GUT_GENOME111058_01601	100003
GUT_GENOME111058_02136	100003
GUT_GENOME111399_00472	100003
GUT_GENOME111399_00788	100003
GUT_GENOME111399_01082	100003
GUT_GENOME111804_02190	100003
GUT_GENOME112182_00314	100003
GUT_GENOME113077_01186	100003
GUT_GENOME113344_00064	100003
GUT_GENOME113344_01143	100003
GUT_GENOME113344_02035	100003
GUT_GENOME114371_00238	100003
GUT_GENOME114812_00374	100003
GUT_GENOME115470_01240	100003
GUT_GENOME116044_00600	100003
GUT_GENOME116193_00266	100003
GUT_GENOME116193_00635	100003
GUT_GENOME116193_00919	100003
GUT_GENOME116265_01290	100003
GUT_GENOME116597_00470	100003
GUT_GENOME116623_00158	100003
GUT_GENOME116623_00847	100003
GUT_GENOME116623_01158	100003
GUT_GENOME116797_01276	100003
GUT_GENOME116797_01687	100003
GUT_GENOME117182_00695	100003
GUT_GENOME117182_01042	100003
GUT_GENOME117182_01371	100003
GUT_GENOME118123_00653	100003
GUT_GENOME118123_01153	100003
GUT_GENOME119521_00169	100003
GUT_GENOME119521_01271	100003
GUT_GENOME119630_00521	100003
GUT_GENOME119630_00757	100003
GUT_GENOME119630_01236	100003
GUT_GENOME119824_01383	100003
GUT_GENOME119859_00049	100003
GUT_GENOME119859_01276	100003
GUT_GENOME119953_00990	100003
GUT_GENOME119953_01554	100003
GUT_GENOME122032_00681	100003
GUT_GENOME122195_01216	100003
GUT_GENOME122423_01572	100003
GUT_GENOME122483_01183	100003
GUT_GENOME122622_00554	100003
GUT_GENOME122622_00798	100003
GUT_GENOME122655_01366	100003
GUT_GENOME122698_00414	100003
GUT_GENOME122830_00536	100003
GUT_GENOME122885_00550	100003
GUT_GENOME122885_00766	100003
GUT_GENOME122976_01379	100003
GUT_GENOME123186_00524	100003
GUT_GENOME123236_00588	100003
GUT_GENOME123367_01784	100003
GUT_GENOME123391_00451	100003
GUT_GENOME123461_00328	100003
GUT_GENOME123827_01165	100003
GUT_GENOME123925_00361	100003
GUT_GENOME124328_00356	100003
GUT_GENOME124610_00357	100003
GUT_GENOME124719_00528	100003
GUT_GENOME125006_01981	100003
GUT_GENOME125356_00954	100003
GUT_GENOME125567_01873	100003
GUT_GENOME126032_00576	100003
GUT_GENOME126032_01275	100003
GUT_GENOME126032_01314	100003
GUT_GENOME126364_00003	100003
